file_name,question,target_answer,iteration,current_table,key_value,current_chain
csv/203-csv/770.csv,"at least of 50% of the population is protestant, starting at which age range?",60 to 64,1,"col : Ages attained (years) | Protestant and other Christian
row 1 : 0 to 4 | 31.7%
row 2 : 5 to 9 | 36.1%
row 3 : 10 to 14 | 37.9%
row 4 : 15 to 19 | 37.6%
row 5 : 20 to 24 | 35.2%
row 6 : 25 to 29 | 33.1%
row 7 : 30 to 34 | 34.3%
row 8 : 35 to 39 | 37.8%
row 9 : 40 to 44 | 41.1%
row 10 : 45 to 49 | 42.8%
row 11 : 50 to 54 | 44.9%
row 12 : 55 to 59 | 46.5%
row 13 : 60 to 64 | 50.0%
row 14 : 65 to 69 | 54.4%
row 15 : 70 to 74 | 56.4%
row 16 : 75 to 79 | 58.1%
row 17 : 80 to 84 | 60.0%
row 18 : 85 to 89 | 61.8%
row 19 : 90 and over | 64.0%
","['f_sort_by', ['Protestant and other Christian']]","f_select_column(['Ages attained (years)', 'Protestant and other Christian']) -> f_sort_by(['Protestant and other Christian']) -> "
csv/203-csv/770.csv,"at least of 50% of the population is protestant, starting at which age range?",60 to 64,2,"col : Ages attained (years) | Protestant and other Christian
row 1 : 90 and over | 64.0%
row 2 : 85 to 89 | 61.8%
row 3 : 80 to 84 | 60.0%
row 4 : 75 to 79 | 58.1%
row 5 : 70 to 74 | 56.4%
row 6 : 65 to 69 | 54.4%
row 7 : 60 to 64 | 50.0%
row 8 : 55 to 59 | 46.5%
row 9 : 50 to 54 | 44.9%
row 10 : 45 to 49 | 42.8%
row 11 : 40 to 44 | 41.1%
row 12 : 10 to 14 | 37.9%
row 13 : 35 to 39 | 37.8%
row 14 : 15 to 19 | 37.6%
row 15 : 5 to 9 | 36.1%
row 16 : 20 to 24 | 35.2%
row 17 : 30 to 34 | 34.3%
row 18 : 25 to 29 | 33.1%
row 19 : 0 to 4 | 31.7%
","['f_select_row', ['row 7']]","f_select_column(['Ages attained (years)', 'Protestant and other Christian']) -> f_sort_by(['Protestant and other Christian']) -> f_select_row(['row 7']) -> "
csv/204-csv/600.csv,which area has the least number of residents?,Ince Blundell,0,"col : Name | Status | Population | District | Former local authority
row 1 : Cronton | Civil parish | 1,379 | Knowsley | Whiston\nRural District
row 2 : Halewood | Town | 20,309 | Knowsley | Whiston\nRural District
row 3 : Huyton with Roby | Unparished area | 49,859 | Knowsley | Huyton with Roby\nUrban District
row 4 : Kirkby | Unparished area | 40,374 | Knowsley | Kirkby\nUrban District
row 5 : Knowsley | Civil parish | 11,343 | Knowsley | Whiston\nRural District
row 6 : Prescot | Town | 11,184 | Knowsley | Prescot\nUrban District
row 7 : Tarbock | Civil parish | 2,382 | Knowsley | Whiston\nRural District
row 8 : Whiston | Town | 13,629 | Knowsley | Whiston\nRural District
row 9 : Liverpool | Unparished area | 439,473 | Liverpool | Liverpool\nCounty Borough
row 10 : Aintree Village | Civil parish | 7,126 | Sefton | West Lancashire\nRural District
row 11 : Bootle | Unparished area | 59,011 | Sefton | Bootle\nCounty Borough
row 12 : Crosby | Unparished area | 45,872 | Sefton | Crosby\nMunicipal Borough
row 13 : Formby | Civil parish | 23,586 | Sefton | Formby\nUrban District
row 14 : Hightown | Civil parish | 2,247 | Sefton | Crosby\nMunicipal Borough
row 15 : Ince Blundell | Civil parish | 518 | Sefton | West Lancashire\nRural District
row 16 : Litherland | Unparished area | 18,629 | Sefton | Litherland\nUrban District
row 17 : Little Altcar | Civil parish | 892 | Sefton | West Lancashire\nRural District
row 18 : Lydiate | Civil parish | 6,672 | Sefton | West Lancashire\nRural District
row 19 : Maghull | Town | 22,225 | Sefton | West Lancashire\nRural District
row 20 : Melling | Civil parish | 2,810 | Sefton | West Lancashire\nRural District
row 21 : Sefton | Civil parish | 772 | Sefton | West Lancashire\nRural District
row 22 : Southport | Unparished area | 90,336 | Sefton | Southport\nCounty Borough
row 23 : Thornton | Civil parish | 2,262 | Sefton | West Lancashire\nRural District
row 24 : Billinge Chapel End | Civil parish | 6,554 | St Helens | Billinge and Winstanley\nUrban District
row 25 : Bold | Civil parish | 2,283 | St Helens | Whiston\nRural District
row 26 : Eccleston | Civil parish | 10,528 | St Helens | Whiston\nRural District
row 27 : Haydock | Unparished area | 15,684 | St Helens | Haydock\nUrban District
row 28 : Newton le Willows | Unparished area | 21,418 | St Helens | Newton le Willows\nUrban District
row 29 : Rainford | Civil parish | 8,344 | St Helens | Rainford\nUrban District
row 30 : Rainhill | Civil parish | 11,913 | St Helens | Whiston\nRural District
row 31 : Seneley Green | Civil parish | 6,163 | St Helens | Ashton in Makerfield\nUrban District
row 32 : St Helens | Unparished area | 91,414 | St Helens | St Helens\nCounty Borough
row 33 : Windle | Civil parish | 2,542 | St Helens | Whiston\nRural District
row 34 : Bebington | Unparished area | 58,226 | Wirral | Bebington\nMunicipal Borough
row 35 : Birkenhead | Unparished area | 103,206 | Wirral | Birkenhead\nCounty Borough
row 36 : Heswall | Unparished area | 29,977 | Wirral | Wirral\nUrban District
row 37 : Hoylake | Unparished area | 35,655 | Wirral | Hoylake\nUrban District
row 38 : Wallasey | Unparished area | 84,348 | Wirral | Wallasey\nCounty Borough
","['f_sort_by', ['Population']]",f_sort_by(['Population']) -> 
csv/203-csv/375.csv,what is the pylon with the least height listed here?,Eibsee Aerial Tramway,0,"col : Name | Year built | Country | Town | Height | Remarks
row 1 : Glacial Aerial Tramway Kaprun III | 1966 | Austria | Kaprun | 113.6 m | The tallest pylon is on the third section
row 2 : Mississippi Aerial River Transit | 1984 | USA | New Orleans | 109 m | The tallest pylon on a gondola lift; on 87 m pile foundations; demolished 1994
row 3 : Torre Jaume I | 1931 | Spain | Barcelona | 107 m | Intermediate stop of the harbour aerial tramway, also observation tower
row 4 : Gant Hohtaelli aerial tramway | nan | Switzerland | Zermatt | 94 m | One pylon
row 5 : London Emirates Air Line | Early 2012 | UK | London | 88 m | North Main Tower. River Thames aerial crossing between Greenwich Peninsular and Royal Docks
row 6 : Singapore cable car | 1972 | Singapore | Singapore | 88 m | Pylon I
row 7 : Eibsee Aerial Tramway | 1962 | Germany | Garmisch-Partenkirchen | 85 m | Pylon II
row 8 : Nizhny Novgorod Volga Aerial Tramway, Tower 4 & 5 | 2012 | Russia | Nizhny Novgorod | 82 m | nan
row 9 : Mittersill goods aerial tramway | 194? | Austria | Mittersill | 80 m | Two pylons for a tramway that never went in service and was demolished in the 1950s. One of the pylons was built of timber, the other of steel.
row 10 : Singapore cable car | 1972 | Singapore | Singapore | 80 m | Pylon II
row 11 : 3S Aerial Tramway | 2004 | Austria | Kitzbühel | 80 m | One pylon
row 12 : Torre Sant Sebastia | 1931 | Spain | Barcelona | 78 m | Terminal of harbour aerial tramway
row 13 : Roosevelt Island Tramway | 1976 | USA | New York City | 76 m | Central pylon of commuter tramway
row 14 : Wendelstein Aerial Tramway | 1970 | Germany | Bayerischzell-Osterhofen | 75 m | nan
row 15 : Vinpearl Cable Car | 2007 | Vietnam | Nha Trang | 75 m | 7 pylons standing in the sea. Total height from sea bed is 115 m
row 16 : Sandia Peak Tramway | 1965 | USA | Albuquerque | 70.7 m | Pylon 1, inclined at an angle of 18 degrees
row 17 : Eibsee Aerial Tramway | 1962 | Germany | Garmisch-Partenkirchen | 65 m | Pylon I
","['f_sort_by', ['Height']]",f_sort_by(['Height']) -> 
csv/203-csv/375.csv,what is the pylon with the least height listed here?,Eibsee Aerial Tramway,1,"col : Name | Year built | Country | Town | Height | Remarks
row 1 : Gant Hohtaelli aerial tramway | nan | Switzerland | Zermatt | 94 m | One pylon
row 2 : London Emirates Air Line | Early 2012 | UK | London | 88 m | North Main Tower. River Thames aerial crossing between Greenwich Peninsular and Royal Docks
row 3 : Singapore cable car | 1972 | Singapore | Singapore | 88 m | Pylon I
row 4 : Eibsee Aerial Tramway | 1962 | Germany | Garmisch-Partenkirchen | 85 m | Pylon II
row 5 : Nizhny Novgorod Volga Aerial Tramway, Tower 4 & 5 | 2012 | Russia | Nizhny Novgorod | 82 m | nan
row 6 : Mittersill goods aerial tramway | 194? | Austria | Mittersill | 80 m | Two pylons for a tramway that never went in service and was demolished in the 1950s. One of the pylons was built of timber, the other of steel.
row 7 : Singapore cable car | 1972 | Singapore | Singapore | 80 m | Pylon II
row 8 : 3S Aerial Tramway | 2004 | Austria | Kitzbühel | 80 m | One pylon
row 9 : Torre Sant Sebastia | 1931 | Spain | Barcelona | 78 m | Terminal of harbour aerial tramway
row 10 : Roosevelt Island Tramway | 1976 | USA | New York City | 76 m | Central pylon of commuter tramway
row 11 : Wendelstein Aerial Tramway | 1970 | Germany | Bayerischzell-Osterhofen | 75 m | nan
row 12 : Vinpearl Cable Car | 2007 | Vietnam | Nha Trang | 75 m | 7 pylons standing in the sea. Total height from sea bed is 115 m
row 13 : Sandia Peak Tramway | 1965 | USA | Albuquerque | 70.7 m | Pylon 1, inclined at an angle of 18 degrees
row 14 : Eibsee Aerial Tramway | 1962 | Germany | Garmisch-Partenkirchen | 65 m | Pylon I
row 15 : Glacial Aerial Tramway Kaprun III | 1966 | Austria | Kaprun | 113.6 m | The tallest pylon is on the third section
row 16 : Mississippi Aerial River Transit | 1984 | USA | New Orleans | 109 m | The tallest pylon on a gondola lift; on 87 m pile foundations; demolished 1994
row 17 : Torre Jaume I | 1931 | Spain | Barcelona | 107 m | Intermediate stop of the harbour aerial tramway, also observation tower
","['f_select_row', ['row 14']]",f_sort_by(['Height']) -> f_select_row(['row 14']) -> 
csv/203-csv/615.csv,which candidate had the least votes by percentage?,Benjamin J. Spang,,,,
csv/204-csv/514.csv,how many of these attacks lasted at least 2 days?,5,,,,
csv/203-csv/835.csv,in how many seasons were there at least 20 goals scored?,4,0,"col : Season | Club | Country | Competition | Apps. | Goals
row 1 : 1997/98 | Rapide Club Lebbeke | Belgium | Fourth Division | – | –
row 2 : 1998/99 | KSC Eendracht Aalst | Belgium | Jupiler League | 30 | 7
row 3 : 1999/00 | KSC Eendracht Aalst | Belgium | Jupiler League | 31 | 7
row 4 : 2000/01 | KSC Eendracht Aalst | Belgium | Jupiler League | 30 | 6
row 5 : 2001/02 | Omonia Nicosia | Cyprus | Cypriot First Division | 22 | 8
row 6 : 2002/03 | FC Denderleeuw | Belgium | Belgian Second Division | 32 | 23
row 7 : 2003/04 | 1. FC Saarbrücken | Germany | Regionalliga Süd | 33 | 16
row 8 : 2004/05 | 1. FC Saarbrücken | Germany | 2. Bundesliga | 14 | 7
row 9 : 2005/06 | 1. FC Saarbrücken | Germany | 2. Bundesliga | 10 | 0
row 10 : 2005/06 | S.V. Zulte Waregem | Belgium | Jupiler League | 14 | 1
row 11 : 2006/07 | FCV Dender EH | Belgium | Belgian Second Division | 33 | 21
row 12 : 2007/08 | MVV | Netherlands | Eerste divisie | 33 | 22
row 13 : 2008/09 | MVV | Netherlands | Eerste divisie | 32 | 20
row 14 : Total | Last Updated | 8 July 2009 | nan | 302 | 132
","['f_select_column', ['Goals']]",f_select_column(['Goals']) -> 
csv/203-csv/835.csv,in how many seasons were there at least 20 goals scored?,4,1,"col : Goals
row 1 : –
row 2 : 7
row 3 : 7
row 4 : 6
row 5 : 8
row 6 : 23
row 7 : 16
row 8 : 7
row 9 : 0
row 10 : 1
row 11 : 21
row 12 : 22
row 13 : 20
row 14 : 132
","['f_sort_by', ['Goals']]",f_select_column(['Goals']) -> f_sort_by(['Goals']) -> 
csv/203-csv/835.csv,in how many seasons were there at least 20 goals scored?,4,2,"col : Goals
row 1 : –
row 2 : 8
row 3 : 7
row 4 : 7
row 5 : 7
row 6 : 6
row 7 : 23
row 8 : 22
row 9 : 21
row 10 : 20
row 11 : 16
row 12 : 132
row 13 : 1
row 14 : 0
","['f_select_row', ['row 7', 'row 8', 'row 9', 'row 10']]","f_select_column(['Goals']) -> f_sort_by(['Goals']) -> f_select_row(['row 7', 'row 8', 'row 9', 'row 10']) -> "
csv/204-csv/63.csv,which winning team won the least?,Bertram Schäfer Racing,,,,
csv/204-csv/185.csv,there is at least how many locations?,7,0,"col : Location | Town | Output (MW AC) | Modules | Number of arrays
row 1 : H. Lee Dennison Building | Hauppauge | 1.75 | 7,737 | 24
row 2 : North County Complex | Hauppauge | 0.5 | 3,431 | 9
row 3 : Cohalan Court Complex | Central Islip | 3.5 | 15,113 | 27
row 4 : Riverhead County Center | Riverside | 3.0 | 11,536 | 31
row 5 : Brentwood LIRR Parking Lot | Brentwood | 1.0 | 3,924 | 11
row 6 : Deer Park LIRR Parking Lot | Deer Park | 2.25 | 3,924 | 39
row 7 : Ronkonkoma LIRR Parking Lot (south) | Ronkonkoma | 5.0 | 20,110 | 44
","['f_select_column', ['Location']]",f_select_column(['Location']) -> 
csv/203-csv/756.csv,role played at least twice,Ah Sa,0,"col : Year | Title | Role | Network | Notes
row 1 : 2000 | Youth Y2K\n青春@Y2K | Cheng Shasha | nan | nan
row 2 : 2001 | The Monkey King: Quest for the Sutra\n齊天大聖孫悟空 | Purple Orchid | TVB | nan
row 3 : 2001 | 藍寶石的夜空 | Shek Po-yi | TVB | Eason Chan's music video
row 4 : 2002 | 一Twins零一夜 | Ah Sa | TVB | Music video
row 5 : 2003 | Triumph in the Skies\n衝上雲霄 | Charlene | TVB | Cameo
row 6 : 2003 | All About Boy'z\n一起喝采 | Langlang Princess | now.com.hk | Appearance in episode 2
row 7 : 2003 | 2半3更之困車立 | Ah Sa | now.com.hk | nan
row 8 : 2003 | 愛在陽光下 | AIDS patient | nan | Music video produced to support the global anti-AIDS campaign
row 9 : 2004 | Kung Fu Soccer\n功夫足球 | nan | TVB | Guest star
row 10 : 2004 | Sunshine Heartbeat\n赤沙印記@四葉草.2 | Ah Sa | TVB | Guest star
row 11 : 2004 | 家有寶貝 | Ah Sa | nan | Guest star
row 12 : 2007 | Colours of Love\n森之愛情 | Wai-fong / Ching-lan | TVB | nan
row 13 : 2007 | Life Off Stage | nan | nan | nan
row 14 : 2010 | Calling for Love!\n呼叫大明星 | Chen Dexin | CTS | nan
row 15 : 2011 | The Legend of Swordman\n劍俠情緣 | Tang Xiaowan / Ning Xin | nan | nan
row 16 : 2012 | Happy Marshal\n歡樂元帥 | Little Dragon Girl (Xiao Long Nu) | nan | nan
","['f_group_by', ['Role']]",f_group_by(['Role']) -> 
csv/203-csv/756.csv,role played at least twice,Ah Sa,1,"col : Year | Title | Network | Notes
row 1 : 1 | 1 | 0 | 1
row 2 : 4 | 4 | 3 | 3
row 3 : 1 | 1 | 1 | 1
row 4 : 1 | 1 | 1 | 0
row 5 : 1 | 1 | 0 | 0
row 6 : 1 | 1 | 1 | 1
row 7 : 1 | 1 | 0 | 0
row 8 : 1 | 1 | 1 | 0
row 9 : 1 | 1 | 1 | 1
row 10 : 1 | 1 | 0 | 0
row 11 : 1 | 1 | 1 | 0
","['f_sort_by', ['Title']]",f_group_by(['Role']) -> f_sort_by(['Title']) -> 
